"Covidence..","Study.ID","Title","Reviewer.Name","Study.DOI","Year.published","Full.title","Study.setting","Disease.type..choose.all.that.apply.","Model.type","X.Other..details","Stochasticity.in.model","Scientific.problem.being.solved","How.many.parameters.were.calibrated.","External.beliefs.or.evidence","Choice.of.parameters.to.calibrate","What.justification.was.provided.for.choice.of.parameters.to.calibrate.","X.Other..details.","Type.of.data.used.for.defining.calibration.targets..select.all.that.apply.","X.Other..details..1","How.many.calibration.targets.were.used.for.estimation.","Resolution.of.data..used.for.defining.calibration.targets","Number.of.steps..single.or.sequential.","Name.of.calibration.algorithm","X.Other..details..2","Is.calibration.implementation..code..available.in.an.open.access.repository.","What.programming.language.was.used.for.calibration.","Do.authors.list.any.programming.packages.used.for.calibration.","Goodness.of.fit..GOF..measure.employed.within.calibration.algorithm","If..Not.clear...paste.the.relevant.text.here..","X.Other..details.1","Nature.of.calibration.results","X.Other..details.2","How.are.calibration.results.reported.","X.Other..details..3","How.is.uncertainty.in.calibration.outputs.reported.","X.Other..details..4","What.is.the.size.of.the.calibration.output."
1922,"Kim 2018","Mathematical model and intervention strategies for mitigating tuberculosis in the Philippines.","Consensus","https://doi.org/10.1016/j.jtbi.2018.01.026",2018,"Mathematical model and intervention strategies for mitigating tuberculosis in the Philippines","Philippines","TB","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Least squares estimation","","Not reported ","Matlab","Yes","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
1913,"Menzies 2018","Prospects for Tuberculosis Elimination in the United States: Results of a Transmission Dynamic Model.","Consensus","https://doi.org/10.1093%2Faje%2Fkwy094",2018,"Prospects for Tuberculosis Elimination in the United States: Results of a Transmission Dynamic Model","United States of America","TB","Compartmental ","","Deterministic model ","Evaluate interventions; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Other ","Incremental Mixture Importance Sampling","Not reported ","R; C++","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
1902,"Guo 2019","Epidemiological characteristics of pulmonary tuberculosis in mainland China from 2004 to 2015: a model-based analysis.","Consensus","https://doi.org/10.1186/s12889-019-6544-4",2019,"Epidemiological characteristics of pulmonary tuberculosis in mainland China from 2004 to 2015: a model-based analysis","China","TB","Not reported","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Single ","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Incidence ; Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Not reported","","Not reported ","Matlab","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","500"
1897,"Kim 2019","Effects of climate change on Plasmodium vivax malaria transmission dynamics: A mathematical modeling approach.","Consensus","https://doi.org/10.1016/j.amc.2018.11.001",2019,"Effects of climate change on Plasmodium vivax malaria transmission dynamics: A mathematical modeling approach","South Korea","Malaria","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).",NA,"Uncertainty in calibration outputs is not reported.","","1"
1873,"Ullah 2020","A FRACTIONAL MODEL FOR THE DYNAMICS OF TUBERCULOSIS INFECTION USING CAPUTO-FABRIZIO DERIVATIVE","Consensus","https://doi.org/10.1016/j.chaos.2018.09.001",2020,"A FRACTIONAL MODEL FOR THE DYNAMICS OF TUBERCULOSIS INFECTION USING
CAPUTO-FABRIZIO DERIVATIVE","Pakistan","TB","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions","Multiple","Not reported","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Incidence ; Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Least squares estimation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
1871,"Liu 2020","Modeling and dynamic analysis of tuberculosis in mainland China from 1998 to 2017: the effect of DOTS strategy and further control.","Consensus","https://doi.org/10.1186/s12976-020-00124-9",2020,"Modeling and dynamic analysis of tuberculosis in mainland China from 1998 to 2017: the effect of DOTS strategy and further control","China","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Notifications / diagnoses; Other ","the annual reported TB cases","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Least squares estimation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
1864,"Lin 2020","Shorter antibiotic regimens impact the control efforts in high tuberculosis burden regions of Taiwan.","Consensus","https://doi.org/10.1016/j.ijid.2020.05.082",2020,"Shorter antibiotic regimens impact the control efforts in high tuberculosis burden regions of Taiwan","Taiwan","TB","Compartmental ","","Not reported","Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Other ","No","Other ","","mean absolute percentage error","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
1863,"Massad 2020","The risk of malaria infection for travelers visiting the Brazilian Amazonian region: A mathematical modeling approach","Consensus","https://doi.org/10.1016/j.tmaid.2020.101792",2020,"The risk of malaria infection for travelers visiting the Brazilian Amazonian region: A mathematical modeling approach","Brazil","Malaria","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
1861,"Cilloni 2020","The potential impact of the COVID-19 pandemic on the tuberculosis epidemic a modelling analysis.","Consensus","https://doi.org/10.1016/j.eclinm.2020.100603",2020,"The potential impact of the COVID-19 pandemic on the tuberculosis epidemic a modelling analysis","India, Kenya, Ukraine","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","Fraction of drug resistance","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","250"
1859,"Awine 2020","Accounting for regional transmission variability and the impact of malaria control interventions in Ghana: a population level mathematical modelling approach","Consensus","https://doi.org/10.1186/s12936-020-03496-y",2020,"Accounting for regional transmission  variability and the impact of malaria control  interventions in Ghana: a population level mathematical modelling approach","Ghana","Malaria","Compartmental ","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Approximate Bayesian Computation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","15,000"
